query,platform,,label
"deepseek16 Mar 2026, 20:57:15 GMT+05:30",Google Search,,
"FileNotFoundError: [Errno 2] No such file or directory: 'heart(1).csv'3 Nov 2025, 10:29:03 GMT+05:30",Google Search,,label
"gemini ai3 Nov 2025, 09:22:56 GMT+05:30",Google Search,,
"vault of codes download windows3 Nov 2025, 09:17:39 GMT+05:30",Google Search,,
"vault of codes3 Nov 2025, 09:16:21 GMT+05:30",Google Search,,
"geeks for geeks3 Nov 2025, 09:16:08 GMT+05:30",Google Search,,
"mermaid ai2 Nov 2025, 22:43:32 GMT+05:30",Google Search,,
"pdf to word2 Nov 2025, 21:49:51 GMT+05:30",Google Search,,
"render login2 Nov 2025, 10:08:05 GMT+05:30",Google Search,,
"render com2 Nov 2025, 10:07:03 GMT+05:30",Google Search,,
"Impurity
Measures,2 Nov 2025, 07:21:53 GMT+05:30",Google Search,,
"uipath1 Nov 2025, 07:22:25 GMT+05:30",Google Search,,
"convert excel into pdf1 Nov 2025, 05:56:46 GMT+05:30",Google Search,,
"pdf to word31 Oct 2025, 22:27:28 GMT+05:30",Google Search,,
"convert excel into pdf31 Oct 2025, 22:18:05 GMT+05:30",Google Search,,
"image to ppt converter free31 Oct 2025, 22:07:05 GMT+05:30",Google Search,,
"convert the image into PPT31 Oct 2025, 22:03:05 GMT+05:30",Google Search,,
"Oracle race last date31 Oct 2025, 16:44:42 GMT+05:30",Google Search,,
"convert image into pdf31 Oct 2025, 16:33:05 GMT+05:30",Google Search,,
"convert image into pdf 10 mb31 Oct 2025, 16:30:29 GMT+05:30",Google Search,,
"w31 Oct 2025, 16:30:18 GMT+05:30",Google Search,,
"a sensor node is made up of31 Oct 2025, 08:06:57 GMT+05:30",Google Search,,
"aicte yukti innovation challenge 202530 Oct 2025, 22:32:04 GMT+05:30",Google Search,,
"YUKTI Innovation Challenge 2025 last date30 Oct 2025, 21:59:22 GMT+05:30",Google Search,,
"yukthi innovation challenge30 Oct 2025, 21:58:46 GMT+05:30",Google Search,,
"uav full form30 Oct 2025, 19:18:17 GMT+05:30",Google Search,,
"full form of auv30 Oct 2025, 19:11:58 GMT+05:30",Google Search,,
"full form of auc30 Oct 2025, 19:11:56 GMT+05:30",Google Search,,
"wirelesshart relies on for its communication30 Oct 2025, 19:04:19 GMT+05:30",Google Search,,
"hart operates only in ghz ism band30 Oct 2025, 18:59:40 GMT+05:30",Google Search,,
"amqp full form in iot30 Oct 2025, 18:43:03 GMT+05:30",Google Search,,
"sublayers of coap30 Oct 2025, 18:40:01 GMT+05:30",Google Search,,
"osi model in iot30 Oct 2025, 18:36:43 GMT+05:30",Google Search,,
"smqtt is an extension of mqtt30 Oct 2025, 18:34:28 GMT+05:30",Google Search,,
"mqtt full form in iot30 Oct 2025, 18:28:57 GMT+05:30",Google Search,,
"mqtt full form30 Oct 2025, 18:28:54 GMT+05:30",Google Search,,
"wayground30 Oct 2025, 14:04:23 GMT+05:30",Google Search,,
"gemini ai30 Oct 2025, 12:52:43 GMT+05:30",Google Search,,
"git bash30 Oct 2025, 12:33:56 GMT+05:30",Google Search,,
"gemini30 Oct 2025, 11:11:11 GMT+05:30",Google Search,,
"render com29 Oct 2025, 22:33:20 GMT+05:30",Google Search,,
"1 riyal mean29 Oct 2025, 19:11:16 GMT+05:30",Google Search,,
"1 riyal29 Oct 2025, 19:11:00 GMT+05:30",Google Search,,
"94 dollars in rupees29 Oct 2025, 19:09:47 GMT+05:30",Google Search,,
"github login29 Oct 2025, 18:42:36 GMT+05:30",Google Search,,
"csp to word29 Oct 2025, 11:03:21 GMT+05:30",Google Search,,
"pdf to word converter29 Oct 2025, 09:14:15 GMT+05:30",Google Search,,
"convert pdf to word28 Oct 2025, 21:29:37 GMT+05:30",Google Search,,
"c online gdb27 Oct 2025, 21:42:15 GMT+05:30",Google Search,,
"c online gdb27 Oct 2025, 21:07:50 GMT+05:30",Google Search,,
"translate 💌 ప్రేమతో క్షమించు నోట్:
నా మాటలతో నీ హృదయాన్ని నొప్పించాను అని నాకు చాలా బాధగా ఉంది. నేను నిన్ను బాధపెట్టాలని ఎప్పుడూ అనుకోలేదు. నీవు నా జీవితం, నా శ్వాస. నీ నవ్వు చూడకపోతే నా మనసు ఖాళీగా ఉంటుంది. దయచేసి ఒకసారి క్షమించు, నీ ప్రేమతో నా తప్పును మరిచిపో. నేను ఎప్పటికీ నిన్ను ప్రేమిస్తూనే ఉంటాను. ❤️ from Telugu27 Oct 2025, 20:56:06 GMT+05:30",Google Search,,
"tinkercad27 Oct 2025, 10:33:55 GMT+05:30",Google Search,,
"Script in webpage

Anonymous 26 Oct 202527 Oct 2025, 08:53:45 GMT+05:30",Google Search,,
"Script!"");

}

</script> </head>

<body>

<h3>Internal and External JavaScript Example</ h3>

onclick=""showInternalMessage()"">Run

<button

Internal Script</button>

<button onclick=""showExternalMessage()"">Run

External Script</button

</body>

</htmb>

Embed JavaScript in webpage

Anonymous 26 Oct 2025 11:07:10 pm

+ Continue conversation27 Oct 2025, 08:53:45 GMT+05:30",Google Search,,
"Script Example27 Oct 2025, 08:53:42 GMT+05:30",Google Search,,
"Script Example27 Oct 2025, 08:53:41 GMT+05:30",Google Search,,
"Script Example</ h3>

onclick=""showInternalMessage27 Oct 2025, 08:53:40 GMT+05:30",Google Search,,
"online html compiler27 Oct 2025, 07:23:42 GMT+05:30",Google Search,,
"vault of codes download windows26 Oct 2025, 20:19:48 GMT+05:30",Google Search,,
"cvault of codes download windows1126 Oct 2025, 20:19:24 GMT+05:30",Google Search,,
"vault of code application download26 Oct 2025, 20:17:33 GMT+05:30",Google Search,,
"vault of codes application26 Oct 2025, 20:17:10 GMT+05:30",Google Search,,
"tinkercad26 Oct 2025, 19:50:22 GMT+05:30",Google Search,,
"html online compiler26 Oct 2025, 18:06:23 GMT+05:30",Google Search,,
"what is Fibonacci26 Oct 2025, 17:50:49 GMT+05:30",Google Search,,
"tinkercad26 Oct 2025, 17:28:54 GMT+05:30",Google Search,,
"dhoni images26 Oct 2025, 16:36:07 GMT+05:30",Google Search,,
"online html compiler26 Oct 2025, 16:15:55 GMT+05:30",Google Search,,
"ldr interfacing esp32 in wokwi26 Oct 2025, 09:15:45 GMT+05:30",Google Search,,
"ldr interfacing esp3226 Oct 2025, 09:14:57 GMT+05:30",Google Search,,
"blink led using esp32 wokwi26 Oct 2025, 09:07:14 GMT+05:30",Google Search,,
"led blinking using esp32 wokwi26 Oct 2025, 09:06:23 GMT+05:30",Google Search,,
"tinkercad26 Oct 2025, 09:02:15 GMT+05:30",Google Search,,
"tinkercad25 Oct 2025, 21:08:58 GMT+05:30",Google Search,,
"series and parallel connection25 Oct 2025, 20:47:05 GMT+05:30",Google Search,,
"tinkercad25 Oct 2025, 18:16:39 GMT+05:30",Google Search,,
"series and parallel connection in wokwi25 Oct 2025, 18:12:36 GMT+05:30",Google Search,,
"wokwi25 Oct 2025, 18:11:43 GMT+05:30",Google Search,,
"rgm portal25 Oct 2025, 13:14:53 GMT+05:30",Google Search,,
"rgm exam portal25 Oct 2025, 13:14:39 GMT+05:30",Google Search,,
"render24 Oct 2025, 14:43:30 GMT+05:30",Google Search,,
"unstop inter24 Oct 2025, 14:40:55 GMT+05:30",Google Search,,
"vtools24 Oct 2025, 11:27:47 GMT+05:30",Google Search,,
"vtools23 Oct 2025, 19:12:12 GMT+05:30",Google Search,,
"vtools23 Oct 2025, 17:50:37 GMT+05:30",Google Search,,
"speed test23 Oct 2025, 12:09:43 GMT+05:30",Google Search,,
"oracle race to certification 202523 Oct 2025, 06:05:01 GMT+05:30",Google Search,,
"google vertex ai22 Oct 2025, 21:40:18 GMT+05:30",Google Search,,
"gfg os22 Oct 2025, 21:28:23 GMT+05:30",Google Search,,
"weather22 Oct 2025, 19:24:11 GMT+05:30",Google Search,,
"rgm exam portal22 Oct 2025, 16:28:00 GMT+05:30",Google Search,,
"rgm exam portal21 Oct 2025, 23:16:53 GMT+05:30",Google Search,,
"overleaf login20 Oct 2025, 18:38:14 GMT+05:30",Google Search,,
"perplexity20 Oct 2025, 18:29:17 GMT+05:30",Google Search,,
"internship links which are currently open20 Oct 2025, 18:11:46 GMT+05:30",Google Search,,
"when does byte heart internship application form start20 Oct 2025, 18:10:41 GMT+05:30",Google Search,,
"byte heart internship application form20 Oct 2025, 18:10:10 GMT+05:30",Google Search,,
"byte heart internship20 Oct 2025, 18:08:32 GMT+05:30",Google Search,,
"oracle race to certification 202519 Oct 2025, 21:49:40 GMT+05:30",Google Search,,
"when is last date to apply cohort 14 in eduskills19 Oct 2025, 20:59:46 GMT+05:30",Google Search,,
"oracle race to certification 202519 Oct 2025, 19:37:23 GMT+05:30",Google Search,,
"oracle race to certification 202519 Oct 2025, 18:35:15 GMT+05:30",Google Search,,
"kanulanu thaake song download18 Oct 2025, 19:51:12 GMT+05:30",Google Search,,
"janatha garage songs download18 Oct 2025, 19:46:11 GMT+05:30",Google Search,,
"kahoot18 Oct 2025, 08:22:02 GMT+05:30",Google Search,,
"what is virtual it is online or offline17 Oct 2025, 22:12:10 GMT+05:30",Google Search,,
"write example like what is mean by virtual it is online or offline mode17 Oct 2025, 22:11:52 GMT+05:30",Google Search,,
"what is mean by virtual17 Oct 2025, 22:11:41 GMT+05:30",Google Search,,
"GOOGLE COLAB16 Oct 2025, 20:02:04 GMT+05:30",Google Search,,
"kaggle datasets16 Oct 2025, 19:41:36 GMT+05:30",Google Search,,
"d2vk51b1ousi8m16 Oct 2025, 13:04:39 GMT+05:30",Google Search,,
"s3://smartqueue1/netflix/16 Oct 2025, 12:59:10 GMT+05:30",Google Search,,
"oracle race to certification 202516 Oct 2025, 06:57:22 GMT+05:30",Google Search,,
"poses in rain for girl14 Oct 2025, 16:47:26 GMT+05:30",Google Search,,
"oracle race to certification 202514 Oct 2025, 14:40:47 GMT+05:30",Google Search,,
"rgm exam portal14 Oct 2025, 13:23:10 GMT+05:30",Google Search,,
"c to c cables14 Oct 2025, 11:32:17 GMT+05:30",Google Search,,
"GOOGLE COLAB14 Oct 2025, 11:12:21 GMT+05:30",Google Search,,
"aistudio.google.con/apikey14 Oct 2025, 10:50:26 GMT+05:30",Google Search,,
"ollama software14 Oct 2025, 10:02:33 GMT+05:30",Google Search,,
"perplexity13 Oct 2025, 00:14:30 GMT+05:30",Google Search,,
"oracle race to certification 202512 Oct 2025, 09:55:45 GMT+05:30",Google Search,,
"oracle certifications12 Oct 2025, 09:55:14 GMT+05:30",Google Search,,
"kaggle datasets11 Oct 2025, 22:35:00 GMT+05:30",Google Search,,
"projects on svm source code11 Oct 2025, 22:29:31 GMT+05:30",Google Search,,
"projects on svm11 Oct 2025, 22:28:40 GMT+05:30",Google Search,,
"ml training data set on svm project11 Oct 2025, 22:18:19 GMT+05:30",Google Search,,
"ml training data set on svm11 Oct 2025, 22:17:54 GMT+05:30",Google Search,,
"amazon ai ml hackathon11 Oct 2025, 22:10:11 GMT+05:30",Google Search,,
"attitude question and answers11 Oct 2025, 15:01:05 GMT+05:30",Google Search,,
"ece full form10 Oct 2025, 18:03:10 GMT+05:30",Google Search,,
"cloud computing projects10 Oct 2025, 15:03:43 GMT+05:30",Google Search,,
"cloud related projects10 Oct 2025, 15:02:01 GMT+05:30",Google Search,,
"infosys springboard10 Oct 2025, 14:02:02 GMT+05:30",Google Search,,
"jan koum pronunciation10 Oct 2025, 09:13:59 GMT+05:30",Google Search,,
"jan koum10 Oct 2025, 09:13:49 GMT+05:30",Google Search,,
"Anne wojcicki  pronunciation10 Oct 2025, 09:12:20 GMT+05:30",Google Search,,
"infosys springboard9 Oct 2025, 21:16:19 GMT+05:30",Google Search,,
"compress image less than 3mb9 Oct 2025, 20:31:05 GMT+05:30",Google Search,,
"convert the image less than 3mb9 Oct 2025, 20:29:13 GMT+05:30",Google Search,,
"take u forward.org9 Oct 2025, 18:59:17 GMT+05:30",Google Search,,
"i need dsa full course best youtube channel9 Oct 2025, 18:55:19 GMT+05:30",Google Search,,
"i need dsa full course best youtube channel in hindi9 Oct 2025, 18:54:54 GMT+05:30",Google Search,,
"ggfg dsa9 Oct 2025, 18:33:25 GMT+05:30",Google Search,,
"image pcb9 Oct 2025, 17:40:52 GMT+05:30",Google Search,,
"gfg aptitude questions and answers9 Oct 2025, 07:24:34 GMT+05:30",Google Search,,
"time chart of india8 Oct 2025, 22:20:19 GMT+05:30",Google Search,,
"time zone of india8 Oct 2025, 22:20:02 GMT+05:30",Google Search,,
"durable8 Oct 2025, 19:20:42 GMT+05:30",Google Search,,
"data science projects8 Oct 2025, 19:04:44 GMT+05:30",Google Search,,
"full stack development project  with code8 Oct 2025, 18:59:44 GMT+05:30",Google Search,,
"full stack development project ideas8 Oct 2025, 18:59:29 GMT+05:30",Google Search,,
"full stack projects8 Oct 2025, 18:58:25 GMT+05:30",Google Search,,
"mkdocs8 Oct 2025, 14:26:17 GMT+05:30",Google Search,,
"markdoc8 Oct 2025, 14:25:59 GMT+05:30",Google Search,,
"infosys springboard8 Oct 2025, 10:03:30 GMT+05:30",Google Search,,
"foss united 20257 Oct 2025, 21:33:55 GMT+05:30",Google Search,,
"what is open source ,y it is important , why we to learn than , what is the use of that7 Oct 2025, 21:32:42 GMT+05:30",Google Search,,
"data structures and algorithms7 Oct 2025, 20:58:14 GMT+05:30",Google Search,,
"what is open source7 Oct 2025, 19:01:08 GMT+05:30",Google Search,,
"gemini ai7 Oct 2025, 14:26:39 GMT+05:30",Google Search,,
"infosys springboard7 Oct 2025, 14:22:08 GMT+05:30",Google Search,,
"ieee collaborative7 Oct 2025, 12:07:50 GMT+05:30",Google Search,,
"keep notes7 Oct 2025, 10:56:35 GMT+05:30",Google Search,,
"infosys springboard7 Oct 2025, 10:08:19 GMT+05:30",Google Search,,
"d2vk51b1ousi8m6 Oct 2025, 19:25:28 GMT+05:30",Google Search,,
"mermaid ai6 Oct 2025, 10:33:45 GMT+05:30",Google Search,,
"Auto-build / Smart-Queue:main6 Oct 2025, 08:03:46 GMT+05:30",Google Search,,
"d11 r5 mesh6 Oct 2025, 07:30:58 GMT+05:30",Google Search,,
"machine chocolate and kurkure buying machine5 Oct 2025, 18:29:18 GMT+05:30",Google Search,,
"machine chocolate and kurkure5 Oct 2025, 18:29:04 GMT+05:30",Google Search,,
"iPhone 11 Pro Max Black4 Oct 2025, 18:27:26 GMT+05:30",Google Search,,
"iPhone 174 Oct 2025, 18:26:59 GMT+05:30",Google Search,,
"iPhone 14 Oct 2025, 18:26:29 GMT+05:30",Google Search,,
"pizza cheese corn in nandyal restaurant names4 Oct 2025, 15:58:37 GMT+05:30",Google Search,,
"pizza cheese corn in nandyal restaurant names4 Oct 2025, 15:56:26 GMT+05:30",Google Search,,
"pizza cheese corn4 Oct 2025, 15:56:13 GMT+05:30",Google Search,,
"9r clouds menu4 Oct 2025, 15:41:46 GMT+05:30",Google Search,,
"is cheese corn pizza available in nandyal, places4 Oct 2025, 15:41:24 GMT+05:30",Google Search,,
"is cheese corn pizza available in nandyal, places4 Oct 2025, 15:41:02 GMT+05:30",Google Search,,
"is cheese corn pizza available in nandyal4 Oct 2025, 15:40:26 GMT+05:30",Google Search,,
"swiggy nandyal4 Oct 2025, 15:40:00 GMT+05:30",Google Search,,
"i. nanadyal cheese corn pizza4 Oct 2025, 15:39:46 GMT+05:30",Google Search,,
"atlas cloud database4 Oct 2025, 12:37:59 GMT+05:30",Google Search,,
"atlas cloud mongodb4 Oct 2025, 12:37:48 GMT+05:30",Google Search,,
"lux or godrej sox is Good which to use4 Oct 2025, 11:55:19 GMT+05:30",Google Search,,
"kia car cost3 Oct 2025, 22:47:08 GMT+05:30",Google Search,,
"gorgeous3 Oct 2025, 21:34:34 GMT+05:30",Google Search,,
"october 3 special day in india3 Oct 2025, 11:47:31 GMT+05:30",Google Search,,
"infosys springboard3 Oct 2025, 09:28:13 GMT+05:30",Google Search,,
"Medicover Hospital contact number2 Oct 2025, 10:37:22 GMT+05:30",Google Search,,
"medicover doctors phone number2 Oct 2025, 10:36:07 GMT+05:30",Google Search,,
"what can eat heart patient1 Oct 2025, 22:12:41 GMT+05:30",Google Search,,
"to increase your energy in our body what to eat1 Oct 2025, 22:12:05 GMT+05:30",Google Search,,
"sree dara shopping mall guntakal photos1 Oct 2025, 22:07:52 GMT+05:30",Google Search,,
"sree dara shopping mall guntakal reviews1 Oct 2025, 22:07:32 GMT+05:30",Google Search,,
"in guntakal dhara shopping mall has home delivery or not1 Oct 2025, 22:07:17 GMT+05:30",Google Search,,
"infosys springboard1 Oct 2025, 21:28:01 GMT+05:30",Google Search,,
"infotact solutions internship1 Oct 2025, 20:53:46 GMT+05:30",Google Search,,
"infotact solutions1 Oct 2025, 20:51:16 GMT+05:30",Google Search,,
"infotact solutions internship1 Oct 2025, 20:18:56 GMT+05:30",Google Search,,
"infotact solutions1 Oct 2025, 20:18:45 GMT+05:30",Google Search,,
"perplexity login1 Oct 2025, 14:34:21 GMT+05:30",Google Search,,
"pavitra hotel guntakal menu1 Oct 2025, 11:52:51 GMT+05:30",Google Search,,
"pavitra hotel menu1 Oct 2025, 11:52:40 GMT+05:30",Google Search,,
"gfg os1 Oct 2025, 10:23:12 GMT+05:30",Google Search,,
"garbage detection project1 Oct 2025, 07:52:51 GMT+05:30",Google Search,,
"garbage detection  gfg1 Oct 2025, 07:52:28 GMT+05:30",Google Search,,
"garbage detection using ml or dl in gfg1 Oct 2025, 07:51:35 GMT+05:30",Google Search,,
"how to improve iron deficiency30 Sept 2025, 21:22:15 GMT+05:30",Google Search,,
"i have my financial problems which dua to read30 Sept 2025, 19:11:29 GMT+05:30",Google Search,,
"i have my financial problems which dua to read30 Sept 2025, 18:27:12 GMT+05:30",Google Search,,
"gfg os30 Sept 2025, 18:17:16 GMT+05:30",Google Search,,
"how to get money when you need it30 Sept 2025, 18:07:19 GMT+05:30",Google Search,,
"eduskills cohort 14 registration started30 Sept 2025, 14:02:57 GMT+05:30",Google Search,,
"eduskills cohort 14 registration30 Sept 2025, 14:02:49 GMT+05:30",Google Search,,
"how to increase the calcium in our body in Telugu30 Sept 2025, 10:13:13 GMT+05:30",Google Search,,
"how to increase the calcium in our body30 Sept 2025, 10:13:01 GMT+05:30",Google Search,,
"operating system30 Sept 2025, 06:43:59 GMT+05:30",Google Search,,
"infosys springboard30 Sept 2025, 06:40:58 GMT+05:30",Google Search,,
"projects on machine learning29 Sept 2025, 19:52:25 GMT+05:30",Google Search,,
"bmi calculator gfg29 Sept 2025, 19:45:13 GMT+05:30",Google Search,,
"bmi calculator29 Sept 2025, 19:45:10 GMT+05:30",Google Search,,
"infosys springboard29 Sept 2025, 11:00:14 GMT+05:30",Google Search,,
"india national cricket team vs pakistan national cricket team match scorecard29 Sept 2025, 05:58:55 GMT+05:30",Google Search,,
"IND vs PAK29 Sept 2025, 05:58:40 GMT+05:30",Google Search,,
