query,platform,Unnamed: 2,label
"deepseek16 Mar 2026, 20:57:15 GMT+05:30",Google Search,,0
"FileNotFoundError: [Errno 2] No such file or directory: 'heart(1).csv'3 Nov 2025, 10:29:03 GMT+05:30",Google Search,,0
"gemini ai3 Nov 2025, 09:22:56 GMT+05:30",Google Search,,0
"vault of codes download windows3 Nov 2025, 09:17:39 GMT+05:30",Google Search,,0
"vault of codes3 Nov 2025, 09:16:21 GMT+05:30",Google Search,,0
"geeks for geeks3 Nov 2025, 09:16:08 GMT+05:30",Google Search,,2
"mermaid ai2 Nov 2025, 22:43:32 GMT+05:30",Google Search,,0
"pdf to word2 Nov 2025, 21:49:51 GMT+05:30",Google Search,,2
"render login2 Nov 2025, 10:08:05 GMT+05:30",Google Search,,2
"render com2 Nov 2025, 10:07:03 GMT+05:30",Google Search,,2
"Impurity
Measures,2 Nov 2025, 07:21:53 GMT+05:30",Google Search,,2
"uipath1 Nov 2025, 07:22:25 GMT+05:30",Google Search,,2
"convert excel into pdf1 Nov 2025, 05:56:46 GMT+05:30",Google Search,,2
"pdf to word31 Oct 2025, 22:27:28 GMT+05:30",Google Search,,2
"convert excel into pdf31 Oct 2025, 22:18:05 GMT+05:30",Google Search,,2
"image to ppt converter free31 Oct 2025, 22:07:05 GMT+05:30",Google Search,,2
"convert the image into PPT31 Oct 2025, 22:03:05 GMT+05:30",Google Search,,2
"Oracle race last date31 Oct 2025, 16:44:42 GMT+05:30",Google Search,,2
"convert image into pdf31 Oct 2025, 16:33:05 GMT+05:30",Google Search,,2
"convert image into pdf 10 mb31 Oct 2025, 16:30:29 GMT+05:30",Google Search,,2
"w31 Oct 2025, 16:30:18 GMT+05:30",Google Search,,2
"a sensor node is made up of31 Oct 2025, 08:06:57 GMT+05:30",Google Search,,2
"aicte yukti innovation challenge 202530 Oct 2025, 22:32:04 GMT+05:30",Google Search,,0
"YUKTI Innovation Challenge 2025 last date30 Oct 2025, 21:59:22 GMT+05:30",Google Search,,2
"yukthi innovation challenge30 Oct 2025, 21:58:46 GMT+05:30",Google Search,,2
"uav full form30 Oct 2025, 19:18:17 GMT+05:30",Google Search,,2
"full form of auv30 Oct 2025, 19:11:58 GMT+05:30",Google Search,,2
"full form of auc30 Oct 2025, 19:11:56 GMT+05:30",Google Search,,2
"wirelesshart relies on for its communication30 Oct 2025, 19:04:19 GMT+05:30",Google Search,,2
"hart operates only in ghz ism band30 Oct 2025, 18:59:40 GMT+05:30",Google Search,,2
"amqp full form in iot30 Oct 2025, 18:43:03 GMT+05:30",Google Search,,2
"sublayers of coap30 Oct 2025, 18:40:01 GMT+05:30",Google Search,,2
"osi model in iot30 Oct 2025, 18:36:43 GMT+05:30",Google Search,,2
"smqtt is an extension of mqtt30 Oct 2025, 18:34:28 GMT+05:30",Google Search,,2
"mqtt full form in iot30 Oct 2025, 18:28:57 GMT+05:30",Google Search,,2
"mqtt full form30 Oct 2025, 18:28:54 GMT+05:30",Google Search,,2
"wayground30 Oct 2025, 14:04:23 GMT+05:30",Google Search,,2
"gemini ai30 Oct 2025, 12:52:43 GMT+05:30",Google Search,,0
"git bash30 Oct 2025, 12:33:56 GMT+05:30",Google Search,,2
"gemini30 Oct 2025, 11:11:11 GMT+05:30",Google Search,,2
"render com29 Oct 2025, 22:33:20 GMT+05:30",Google Search,,2
"1 riyal mean29 Oct 2025, 19:11:16 GMT+05:30",Google Search,,2
"1 riyal29 Oct 2025, 19:11:00 GMT+05:30",Google Search,,2
"94 dollars in rupees29 Oct 2025, 19:09:47 GMT+05:30",Google Search,,2
"github login29 Oct 2025, 18:42:36 GMT+05:30",Google Search,,0
"csp to word29 Oct 2025, 11:03:21 GMT+05:30",Google Search,,2
"pdf to word converter29 Oct 2025, 09:14:15 GMT+05:30",Google Search,,2
"convert pdf to word28 Oct 2025, 21:29:37 GMT+05:30",Google Search,,2
"c online gdb27 Oct 2025, 21:42:15 GMT+05:30",Google Search,,2
"c online gdb27 Oct 2025, 21:07:50 GMT+05:30",Google Search,,2
"translate 💌 ప్రేమతో క్షమించు నోట్:
నా మాటలతో నీ హృదయాన్ని నొప్పించాను అని నాకు చాలా బాధగా ఉంది. నేను నిన్ను బాధపెట్టాలని ఎప్పుడూ అనుకోలేదు. నీవు నా జీవితం, నా శ్వాస. నీ నవ్వు చూడకపోతే నా మనసు ఖాళీగా ఉంటుంది. దయచేసి ఒకసారి క్షమించు, నీ ప్రేమతో నా తప్పును మరిచిపో. నేను ఎప్పటికీ నిన్ను ప్రేమిస్తూనే ఉంటాను. ❤️ from Telugu27 Oct 2025, 20:56:06 GMT+05:30",Google Search,,2
"tinkercad27 Oct 2025, 10:33:55 GMT+05:30",Google Search,,2
"Script in webpage

Anonymous 26 Oct 202527 Oct 2025, 08:53:45 GMT+05:30",Google Search,,2
"Script!"");

}

</script> </head>

<body>

<h3>Internal and External JavaScript Example</ h3>

onclick=""showInternalMessage()"">Run

<button

Internal Script</button>

<button onclick=""showExternalMessage()"">Run

External Script</button

</body>

</htmb>

Embed JavaScript in webpage

Anonymous 26 Oct 2025 11:07:10 pm

+ Continue conversation27 Oct 2025, 08:53:45 GMT+05:30",Google Search,,2
"Script Example27 Oct 2025, 08:53:42 GMT+05:30",Google Search,,2
"Script Example27 Oct 2025, 08:53:41 GMT+05:30",Google Search,,2
"Script Example</ h3>

onclick=""showInternalMessage27 Oct 2025, 08:53:40 GMT+05:30",Google Search,,2
"online html compiler27 Oct 2025, 07:23:42 GMT+05:30",Google Search,,2
"vault of codes download windows26 Oct 2025, 20:19:48 GMT+05:30",Google Search,,0
"cvault of codes download windows1126 Oct 2025, 20:19:24 GMT+05:30",Google Search,,0
"vault of code application download26 Oct 2025, 20:17:33 GMT+05:30",Google Search,,0
"vault of codes application26 Oct 2025, 20:17:10 GMT+05:30",Google Search,,0
"tinkercad26 Oct 2025, 19:50:22 GMT+05:30",Google Search,,2
"html online compiler26 Oct 2025, 18:06:23 GMT+05:30",Google Search,,2
"what is Fibonacci26 Oct 2025, 17:50:49 GMT+05:30",Google Search,,2
"tinkercad26 Oct 2025, 17:28:54 GMT+05:30",Google Search,,2
"dhoni images26 Oct 2025, 16:36:07 GMT+05:30",Google Search,,2
"online html compiler26 Oct 2025, 16:15:55 GMT+05:30",Google Search,,2
"ldr interfacing esp32 in wokwi26 Oct 2025, 09:15:45 GMT+05:30",Google Search,,2
"ldr interfacing esp3226 Oct 2025, 09:14:57 GMT+05:30",Google Search,,2
"blink led using esp32 wokwi26 Oct 2025, 09:07:14 GMT+05:30",Google Search,,2
"led blinking using esp32 wokwi26 Oct 2025, 09:06:23 GMT+05:30",Google Search,,2
"tinkercad26 Oct 2025, 09:02:15 GMT+05:30",Google Search,,2
